key;en-GROUP;cs-CZ-x-CZ text
popups.reboot.footerText;SG002: Error number %1;SG002: Číslo chyby %1
popups.upgrade.footerText;SG001: Error number %1;SG001: Číslo chyby %1
popups.wifi.footerText;SC120: Error number %1;SC120: Číslo chyby %1
firstInstall.wifiNetworkErrorScreen.title;Network;Wi-Fi
notification.recording.notForPast;Sorry, you can’t record programmes shown in the past.;Nelze nahrávat. Pořad skončil.
notification.recording.fullprotection;SR004: Maximum number of recordings already protected. Please unprotect other recordings and try again.;Nahrávku nelze chránit. Zrušte ochranu jiných nahrávek a zkuste to znovu.
firstInstall.remotePairingFailedScreen.title;Remote pairing;Zkusit znovu
firstInstall.remotePairingFailedScreen.description;To reset your TV remote, hold the 3 and yellow buttons together for 5 seconds (or until the power light on the remote stops flashing).;Omlouváme se, pokus o spárování dálkového ovladače Vodafone TV <br/> selhal.  Chcete-li to zkusit znovu, podržte současně tlačítko <br/> 3 a žluté tlačítko po dobu 5 sekund.
notification.program.noInformation;SM002: No info available;SM002: Programy ve funkci „Pokračujte, kde jste skončili“ nelze načíst.
serieInfo.episode.notavailable;SM001: Sorry, title unavailable.; 
settings.network.lan.waiting;Connect your Ethernet cable to set up your network;Připojte ethernetový kabel
notification.channel.offline;SV003: Sorry, this channel is unavailable;Tento kanál je momentálně off-line.  Zkuste to prosím později.
notification.player.videoUnavailable;SV002: Programme unavailable.;SV002: U tohoto pořadu není možné opětovné přehrávání.
notification.player.error;SV001: Error;SV001: Chyba opětovného přehrávání.
notification.recording.failed;SR007: Recording failed;SR007: Nahrávání se nezdařilo. Zkuste to prosím později.
notification.recording.notPossible;SR005: You can't record this.;Nahrávání není možné. Pořady, které lze nahrávat, naleznete v televizním programu.
notification.recording.notOnBarker;SR003: Sorry, you can't record this channel;Na tomto kanálu není možné nahrávat.
notification.seriesRecording.failed;SR002: Recording failed, try again.;SR002: Nahrávání se nezdařilo. Zkuste to prosím později.
popups.storage.title;SR001: Sorry, your storage is full;Nelze nahrávat. Chcete-li uvolnit úložiště, odstraňte některé záznamy.
notification.player.noAntenna;SD001: No aerial signal found.;SD001: Žádný signál. Zkontrolujte koaxiální kabel a zkuste to znovu.
popups.playbackError.message;SC219: Please check your Wi-Fi or see vodafone.co.uk/tv;SC218: Přehrávání bylo přerušeno. <br/> Zkontrolujte prosím router a zkuste to znovu.
popups.playbackError.title;SC218: Sorry, we can't find a connection;Wi-Fi připojení ztraceno. Zkontrolujte prosím router a zkuste to znovu.
