key;en-GROUP;de-DE-x-DE text
popups.reboot.footerText;SG002: Error number %1;SG002: Fehlermeldung %1
popups.upgrade.footerText;SG001: Error number %1;SG001: Fehlermeldung %1
popups.wifi.footerText;SC120: Error number %1;SC120: Fehlermeldung %1
firstInstall.wifiNetworkErrorScreen.title;Network;WLAN
notification.recording.notForPast;Sorry, you can’t record programmes shown in the past.;Die Aufnahme ist nicht möglich, die Sendung ist zu Ende
notification.recording.fullprotection;SR004: Maximum number of recordings already protected. Please unprotect other recordings and try again.;Die Aufnahme konnte nicht geschützt werden. Hebe den Schutz für andere Aufnahmen auf und versuche es erneut
firstInstall.remotePairingFailedScreen.title;Remote pairing;Bitte versuche es nochmals
firstInstall.remotePairingFailedScreen.description;To reset your TV remote, hold the 3 and yellow buttons together for 5 seconds (or until the power light on the remote stops flashing).;Leider konnte die GigaTV Fernbedienung nicht verbunden werden. Um es nochmals zu versuchen, halte gleichzeitig den gelben Knopf und die Nummerntaste [3] für fünf Sekunden gedrückt<br/><br/>
notification.program.noInformation;SM002: No info available;SM002: Fortsetzen nicht möglich. Diese Aktion konnte nicht geladen werden
serieInfo.episode.notavailable;SM001: Sorry, title unavailable.;
settings.network.lan.waiting;Connect your Ethernet cable to set up your network;Bitte stelle eine Verbindung über WLAN oder per LAN-Kabel her
notification.channel.offline;SV003: Sorry, this channel is unavailable;Dieser Sender steht derzeit nicht zur Verfügung. Bitte versuche es später erneut
notification.player.videoUnavailable;SV002: Programme unavailable.;SV002: Dieser Inhalt kann nicht wiedergegeben werden
notification.player.error;SV001: Error;SV002: Wiedergabefehler
notification.recording.failed;SR007: Recording failed;SR007: Aufnahme fehlgeschlagen. Bitte versuche es später erneut
notification.recording.notPossible;SR005: You can't record this.;Die Aufnahme ist nicht möglich. Bitte beachte im TV Guide die Aufnahme-Kennzeichnung
notification.recording.notOnBarker;SR003: Sorry, you can't record this channel;Auf diesem Sender sind keine Aufnahmen möglich
notification.seriesRecording.failed;SR002: Recording failed, try again.;SR002: Die Aufnahme ist fehlgeschlagen. Bitte versuche es später erneut
popups.storage.title;SR001: Sorry, your storage is full;Die Aufnahme ist nicht möglich. Bitte lösche Aufnahmen, um Speicherplatz freizugeben
notification.player.noAntenna;SD001: No aerial signal found.;SD001: Es wurde kein Antennensignal gefunden. Bitte überprüfe das Kabel und versuche es erneut.
popups.playbackError.message;SC219: Please check your Wi-Fi or see vodafone.co.uk/tv;SC218: Die Wiedergabe wurde unterbrochen.<br/>Überprüfe bitte Deinen Router und versuche es erneut
popups.playbackError.title;SC218: Sorry, we can't find a connection;Die WLAN-Verbindung wurde unterbrochen. Überprüfe bitte Deinen Router und versuche es erneut
firstInstall.wifiNetworkErrorScreen.noIP;SC123: Please reboot your router and try again.;SC123: Dein WLAN ist nicht mit dem Internet verbunden. Überprüfe bitte Deinen Router und versuche es erneut
firstInstall.wifiNetworkErrorScreen.wirelessKeyError;SC116: Your Wi-Fi password is wrong, please try again.;Falsches WLAN-Passwort. Bitte versuche es erneut!
firstInstall.wiredNetworkScreen.noIP;SC013: You’re not connected to the internet – please try again.;SC013: Es konnte keine Verbindung zum Internet hergestellt werden.<br/>Überprüfe bitte Deinen Internet-Kabelanschluss und Router und versuche es erneut
notification.epg.date.invalid;SC007: Invalid date;SC007: Ungültiges Datum
notification.network.offline;SC005: Connnection lost.;SC005: Verbindung wurde unterbrochen. Überprüfe bitte Deine Internetverbindung und versuche es erneut
settings.network.lan.noIP;SC002: You’re not connected to the internet – please try again.;SC002: Deine LAN-Verbindung ist nicht mit dem Internet verbunden.<br/>Überprüfe bitte Deinen Router und versuche es erneut
firstInstall.wiredNetworkScreen.connectionLost.description;SC001: Your internet connection was lost.;SC001: Die Verbindung wurde unterbrochen.<br/>Überprüfe bitte Deinen Router und versuche es erneut
firstInstall.getHelpScreen.wired.title;Network;Internetverbindung
notification.channel.notSubscribed;SB003: You’re not subscribed.;SB003: Entweder versuchst Du auf mehr als zwei Geräten zuzugreifen oder Du hast kein Abo
notification.purchase.failed;SB001: Purchase failed;SB001: Kauf fehlgeschlagen. Bitte versuche es erneut.
settings.masterPin.doNotMatch;SA010: They don't match, please try again.;SA010: Die PINs stimmen nicht überein. Bitte versuche es erneut.
popups.pinEntry.failed;SA007: Sorry, that was the wrong PIN. Please try again.;Die eingegebene PIN ist nicht korrekt. Bitte versuche es erneut.
continueWatching.noUsername;SA006: Unknown;Unbekannt
