key;en-GROUP;el-GR-x-GR text
popups.reboot.footerText;SG002: Error number %1;SG002: Σφάλμα %1
popups.upgrade.footerText;SG001: Error number %1;SG001: Σφάλμα %1
popups.wifi.footerText;SC120: Error number %1;SC120: Σφάλμα %1
firstInstall.wifiNetworkErrorScreen.title;Network;Wi-Fi
notification.recording.notForPast;Sorry, you can’t record programmes shown in the past.;Η εγγραφή απέτυχε. Το πρόγραμμα που επιλέξατε έχει τελειώσει.
notification.recording.fullprotection;SR004: Maximum number of recordings already protected. Please unprotect other recordings and try again.;Η προσθήκη προστασίας της εγγραφής απέτυχε, φτάσατε στο ανώτατο όριο. Αφαιρεστε μια προστατευμένη εγγραφή και δοκιμάστε ξανά.
firstInstall.remotePairingFailedScreen.title;Remote pairing;Προσπαθήστε ξανά
firstInstall.remotePairingFailedScreen.description;To reset your TV remote, hold the 3 and yellow buttons together for 5 seconds (or until the power light on the remote stops flashing).;Η σύνδεση του τηλεχειριστηρίου απέτυχε<br/>.  Πιέστε ταυτόχρονα τα πλήκτρα <br/> 3 και το κίτρινο για 5 δευτερόλεπτα.
notification.program.noInformation;SM002: No info available;SM002: Αδυναμία φόρτωσης των προγραμμάτων.
serieInfo.episode.notavailable;SM001: Sorry, title unavailable.;SM001: Οι πληροφορίες του επεισοδίου δεν είναι διαθέσιμες.
settings.network.lan.waiting;Connect your Ethernet cable to set up your network;Συνδέστε το καλώδιο δικτύου
notification.channel.offline;SV003: Sorry, this channel is unavailable;Το συγκεκριμένο κανάλι είναι προσωρινά μη διαθέσιμο. Παρακαλώ προσπαθήστε αργότερα.
notification.player.videoUnavailable;SV002: Programme unavailable.;SV002: Το πρόγραμμα δεν είναι διαθέσιμο.
notification.player.error;SV001: Error;SV001: Παρουσιάστηκε σφάλμα στην αναπαραγωγή.
notification.recording.failed;SR007: Recording failed;SR007: Η εγγραφή δεν είναι εφικτή. Παρακαλώ δοκιμάστε αργότερα.
notification.recording.notPossible;SR005: You can't record this.;Το πρόγραμμα δεν είναι διαθέσιμο για εγγραφή
notification.recording.notOnBarker;SR003: Sorry, you can't record this channel;Το κανάλι δεν είναι διαθέσιμο για εγγραφή
notification.seriesRecording.failed;SR002: Recording failed, try again.;SR002: Η εγγραφή δεν είναι εφικτή. Παρακαλώ δοκιμάστε αργότερα.
popups.storage.title;SR001: Sorry, your storage is full;Η εγγραφή δεν είναι εφικτή. Παρακαλώ διαγράψτε παλαιότερες εγγραφές.
notification.player.noAntenna;SD001: No aerial signal found.;Δεν υπάρχει σύνδεση με την κεραία
popups.playbackError.message;SC219: Please check your Wi-Fi or see vodafone.co.uk/tv;SC218: Σφάλμα αναπαραγωγής.<br/>Παρακαλώ ελέγξτε τη σύνδεση με το ρούτερ και δοκιμάστε ξανά.
popups.playbackError.title;SC218: Sorry, we can't find a connection;Δεν υπάρχει σύνδεση με το ασύρματο δίκτυο. Παρακαλώ ελέγξτε το ρούτερ σας και δοκιμάστε ξανά.
firstInstall.wifiNetworkErrorScreen.noIP;SC123: Please reboot your router and try again.;SC123: Δεν υπάρχει σύνδεση με το διαδίκτυο. Παρακαλώ ελέγξτε το ρούτερ σας και δοκιμάστε ξανά.
firstInstall.wifiNetworkErrorScreen.wirelessKeyError;SC116: Your Wi-Fi password is wrong, please try again.;Λάθος κωδικός Wi-Fi. Παρακαλώ δοκιμάστε ξανά.
firstInstall.wiredNetworkScreen.noIP;SC013: You’re not connected to the internet – please try again.;SC013: Δεν υπάρχει σύνδεση με το διαδίκτυο. <br/>Παρακαλώ ελέγξτε την σύνδεση σας και δοκιμάστε ξανά.
notification.epg.date.invalid;SC007: Invalid date;SC007: Μη έγκυρη ημερομηνία
notification.network.offline;SC005: Connnection lost.;SC005: Παρουσιάστηκε σφάλμα με τη σύνδεση στην υπηρεσία. Παρακαλώ ελέγξτε τη σύνδεση σας με το διαδίκτυο.
settings.network.lan.noIP;SC002: You’re not connected to the internet – please try again.;SC002: SC022: Δε βρέθηκε σύνδεση δικτύου μέσω καλωδίου. <br/>Παρακαλώ ελέγξτε το ρούτερ σας και δοκιμάστε ξανά.
firstInstall.wiredNetworkScreen.connectionLost.description;SC001: Your internet connection was lost.;SC001: Παρουσιάστηκε σφάλμα με τη σύνδεση στην υπηρεσία. <br/>Παρακαλώ ελέγξτε τη σύνδεση σας με το διαδίκτυο.
firstInstall.getHelpScreen.wired.title;Network;Σύνδεση με διαδίκτυο
notification.channel.notSubscribed;SB003: You’re not subscribed.;SB003: Προσπαθείτε να δείτε σε περισσότερες από το επιτρεπόμενο όριο συσκευές ή δεν έχετε συνδρομή στο συγκεκριμένο κανάλι
notification.purchase.failed;SB001: Purchase failed;SB001: Η ενοικίαση απέτυχε. Παρακαλώ δοκιμάστε ξανά
settings.masterPin.doNotMatch;SA010: They don't match, please try again.;SA010: Οι κωδικοί PIN διαφέρουν. Παρακαλώ δοκιμάστε ξανά.
popups.pinEntry.failed;SA007: Sorry, that was the wrong PIN. Please try again.;Λάθος κωδικός PIN. Παρακαλώ δοκιμάστε ξανά.
continueWatching.noUsername;SA006: Unknown;Άγνωστο
firstInstall.operatorPairingScreen.description.noPin;SA005: Please call us on 08080 034 515 to complete setup.;SA005: Η ενεργοποίηση της υπηρεσίας Vodafone TV είναι σε εξέλιξη. Παρακαλώ αποσυνδέστε τον αποκωδικοποιητή από το ρεύμα και δοκιμάστε ξανά αργότερα. Αν το πρόβλημα παραμένει καλέστε στο 13830
notification.login.error;SA002: Sorry, login failed.;SA002: Δεν υπάρχει σύνδεση με την υπηρεσία. Παρακαλώ επικοινωνήστε με το 13830.
pinEntry.unSuccessful;SA001: Wrong PIN;Λάθος PIN. Παρακαλώ δοκιμάστε ξανά.
firstInstall.pairingPinInputScreen.title;Welcome;Γεια σας
firstInstall.remoteUnPairingScreen.description;To pair your TV box and remote, hold the 3 and yellow buttons together for 5 seconds, then repeat with the 1 and yellow buttons.;Για να συνδέσετε το τηλεχειριστήριο, πιέστε ταυτόχρονα τα πλήκτρα 3 και κίτρινο για 5 δευτερόλεπτα
firstInstall.remotePairingScreen.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds. ;Για να συνδέσετε το τηλεχειριστήριο σας, πατήστε ταυτόχρονα <br/> τα πλήκτρα 3 και το κίτρινο για 5 δευτερόλεπτα.
settings.remote.pairing;Remote pairing;Σύνδεση τηλεχειριστηρίου
settings.remote.remotePairNewDevice.step0.description;To unpair your remote, hold the 3 and yellow buttons together for 5 seconds.;Πατήστε τα πλήκτρο 3 και το κίτρινο ταυτόχρονα για 5 δευτερόλεπτα.
firstInstall.wiredNetworkScreen.description;Connect your Ethernet cable to set up your network.;Παρακαλώ συνδέστε το καλώδιο δικτύου από τον αποκωδικοποιητή στο ρούτερ σας.
settings.remote.batteryStatus.low;Your battery status is low.;Επίπεδο Μπαταρίας
settings.network.wifi;WiFi;Wi-Fi
firstInstall.wiredNetworkFoundScreen.description;You're now connected.;Επιτυχής σύνδεση
settings.remote.remotePairNewDevice.step1.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds.;Πατήστε τα πλήκτρα 3 και κίτρινο ταυτόχρονα για 5 δευτερόλεπτα.
