key;en-GROUP;hu-HU-x-HU text
popups.reboot.footerText;SG002: Error number %1;SG002: Hibaszám %1
popups.upgrade.footerText;SG001: Error number %1;SG001: Hibaszám %1
popups.wifi.footerText;SC120: Error number %1;SC120: Hibaszám %1
firstInstall.wifiNetworkErrorScreen.title;Network;Wi-Fi
notification.recording.notForPast;Sorry, you can’t record programmes shown in the past.;Nincs lehetőség felvételre. A műsor véget ért.
notification.recording.fullprotection;SR004: Maximum number of recordings already protected. Please unprotect other recordings and try again.;Nem lehet levédeni a felvételt. Szüntesd meg más felvételek védettségét, majd próbáld újra!
firstInstall.remotePairingFailedScreen.title;Remote pairing;Újrapróbál
firstInstall.remotePairingFailedScreen.description;To reset your TV remote, hold the 3 and yellow buttons together for 5 seconds (or until the power light on the remote stops flashing).;Sajnos nem sikerült párosítani a Vodafone Mediaboxot <br/>a távirányítóval. Kérjük, próbáld meg újra a 3-as számú<br/>és a sárga színű gombok 5 másodpercig történő együttes nyomva tartásával!
notification.program.noInformation;SM002: No info available;Lejátszás folytatása sikertelen. [SM002]
serieInfo.episode.notavailable;SM001: Sorry, title unavailable.;Nincs elérhető információ az epizódhoz. [SM001]
settings.network.lan.waiting;Connect your Ethernet cable to set up your network;Csatlakoztasd az Ethernet-kábelt
notification.channel.offline;SV003: Sorry, this channel is unavailable;Ez a csatorna jelenleg nem elérhető. Kérjük, próbáld újra később!
notification.player.videoUnavailable;SV002: Programme unavailable.;Ez a műsor nem játszható vissza. [SV002]
notification.player.error;SV001: Error;Visszajátszási hiba [SV001]
notification.recording.failed;SR007: Recording failed;Hiba a felvétel során. Kérjük, próbáld újra később! [SR007]
notification.recording.notPossible;SR005: You can't record this.;A műsorrögzítés nem lehetséges. Ellenőrizd a rögzíthető programokat a Műsorújságban.
notification.recording.notOnBarker;SR003: Sorry, you can't record this channel;A felvétel nem elérhető ezen a csatornán
notification.seriesRecording.failed;SR002: Recording failed, try again.;Hiba a felvétel során. Kérjük, próbáld meg később! [SR002]
popups.storage.title;SR001: Sorry, your storage is full;A felvétel nem lehetséges, a tárhely megtelt. Kérjük, törölj valamit a felvételeid közül!
notification.player.noAntenna;SD001: No aerial signal found.;Nincs jel. Kérjük, ellenőrizd a kábel csatlakozását, és próbáld újra! [SD001]
popups.playbackError.message;SC219: Please check your Wi-Fi or see vodafone.co.uk/tv;Visszajátszás megszakítva. <br/> Kérjük, ellenőrizd a routert, és próbáld újra! [SC218]
popups.playbackError.title;SC218: Sorry, we can't find a connection;Megszakadt a Wi-Fi-kapcsolat. Ellenőrizd a routert, és próbáld meg újra!
firstInstall.wifiNetworkErrorScreen.noIP;SC123: Please reboot your router and try again.;Nincs internetkapcsolat. Kérjük, ellenőrizd a routert, és próbáld újra! [SC123]
firstInstall.wifiNetworkErrorScreen.wirelessKeyError;SC116: Your Wi-Fi password is wrong, please try again.;A Wi-Fi-jelszó nem megfelelő. Kérjük, próbáld újra!
firstInstall.wiredNetworkScreen.noIP;SC013: You’re not connected to the internet – please try again.;Nincs internetkapcsolat.<br/> Kérjük, ellenőrizd a routert, és próbáld újra! [SC013]
notification.epg.date.invalid;SC007: Invalid date;Érvénytelen dátum [SC007]
notification.network.offline;SC005: Connnection lost.;A kapcsolat megszakadt. Kérjük, ellenőrizd az internetkapcsolatot! [SC005]
settings.network.lan.noIP;SC002: You’re not connected to the internet – please try again.;Nincs internetkapcsolat.<br/>Kérjük ellenőrizd a routert, és próbáld újra! [SC002]
firstInstall.wiredNetworkScreen.connectionLost.description;SC001: Your internet connection was lost.;A kapcsolat megszakadt.<br/>Kérjük, ellenőrizd a routert, és próbáld újra! [SC001]
firstInstall.getHelpScreen.wired.title;Network;Internetkapcsolat
notification.channel.notSubscribed;SB003: You’re not subscribed.;Kettőnél több készüléken próbálsz meg lejátszani, vagy nincs előfizetésed. [SB003]
notification.purchase.failed;SB001: Purchase failed;A vásárlás sikertelen. Kérjük, próbáld újra! [SB001]
settings.masterPin.doNotMatch;SA010: They don't match, please try again.;A PIN kódok nem egyeznek. Kérjük, próbáld újra! [SA010]
popups.pinEntry.failed;SA007: Sorry, that was the wrong PIN. Please try again.;A PIN kód nem megfelelő. Kérjük, próbáld újra!
continueWatching.noUsername;SA006: Unknown;Ismeretlen
firstInstall.operatorPairingScreen.description.noPin;SA005: Please call us on 08080 034 515 to complete setup.;Az üzembehelyezést nem lehet befejezni. Kérjük, lépj kapcsolatba az Ügyfélszolgálattal! [SA005]
notification.login.error;SA002: Sorry, login failed.;Nem lehet csatlakozni a szolgáltatáshoz. Kérjük, lépj kapcsolatba az Ügyfélszolgálattal! [SA002]
pinEntry.unSuccessful;SA001: Wrong PIN;A PIN kód nem megfelelő. Kérjük, próbáld újra!
firstInstall.pairingPinInputScreen.title;Welcome;Szia!
firstInstall.remoteUnPairingScreen.description;To pair your TV box and remote, hold the 3 and yellow buttons together for 5 seconds, then repeat with the 1 and yellow buttons.;A távirányító és a Vodafone Mediabox párosításához kérjük tartsd lenyomva a 3-as és a sárga gombokat egyidejűleg 5 másodpercig, majd az 1-es és a sárga gombokat további 5 másodpercig.
firstInstall.remotePairingScreen.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds. ;A távirányító és a Vodafone Mediabox párosításához kérjük, tartsd lenyomva<br/> az 1-es és a sárga gombokat egyidejűleg 5 másodpercig
settings.remote.pairing;Remote pairing;Távirányító párosítása
settings.remote.remotePairNewDevice.step0.description;To unpair your remote, hold the 3 and yellow buttons together for 5 seconds.;Kérjük, először tartsd lenyomva a 3-as és a sárga gombot egyidejűleg 5 másodpercig
