key;en-GROUP;it-IT-x-IT text
popups.reboot.footerText;SG002: Error number %1;[SG002] Errore numero %1. Vai su voda.it/vtvhelp
popups.upgrade.footerText;SG001: Error number %1;[SG001] Errore numero %1. Vai su voda.it/vtvhelp
popups.wifi.footerText;SC120: Error number %1;[SC120] Errore numero %1. Vai su voda.it/vtvhelp
firstInstall.wifiNetworkErrorScreen.title;Network;Controlla connessione
notification.recording.notForPast;Sorry, you can’t record programmes shown in the past.;Registrazione non consentita per programmi già trasmessi
notification.recording.fullprotection;SR004: Maximum number of recordings already protected. Please unprotect other recordings and try again.;Per proteggere questa registrazione devi cancellarne una precedente [SR004]. Vai su voda.it/vtvhelp
firstInstall.remotePairingFailedScreen.title;Remote pairing;Prova ad associare di nuovo il telecomando tenendo premuti i tasti '3' e 'Giallo' per almeno 5 secondi
firstInstall.remotePairingFailedScreen.description;To reset your TV remote, hold the 3 and yellow buttons together for 5 seconds (or until the power light on the remote stops flashing).;Assicurati che le batterie siano cariche e che la linguetta gialla di protezione sia stata rimossa.Tieni premuti i tasti '3' e 'Giallo' per almeno 5 secondi (fino a quando il tastodi accensione smetterà di lampeggiare)
notification.program.noInformation;SM002: No info available;Nessuna informazione disponibile [SM002]. Vai su voda.it/vtvhelp
serieInfo.episode.notavailable;SM001: Sorry, title unavailable.;Informazioni non disponibili [SM001]. Vai su voda.it/vtvhelp
settings.network.lan.waiting;Connect your Ethernet cable to set up your network;Collega il cavo Ethernet oppure connetti il TV box al Wi-Fi
notification.channel.offline;SV003: Sorry, this channel is unavailable;Canale non disponibile [SV003]. Vai su voda.it/vtvhelp
notification.player.videoUnavailable;SV002: Programme unavailable.;Diritto di visione non disponibile [SV002]
notification.player.error;SV001: Error;Errore generico [SV001]. Vai su voda.it/vtvhelp
notification.recording.failed;SR007: Recording failed;Registrazione non andata a buon fine [SR007].Vai su voda.it/vtvhelp
notification.recording.notPossible;SR005: You can't record this.;Non è possibile registrare questo programma [SR005]. Vai su voda.it/vtvhelp
notification.recording.notOnBarker;SR003: Sorry, you can't record this channel;Non è possibile registrare [SR003]. Vai su voda.it/vtvhelp
notification.seriesRecording.failed;SR002: Recording failed, try again.;[SR002] Registrazione Serie non andata a buon fine. Riprova più tardi o vai su voda.it/vtvhelp
popups.storage.title;SR001: Sorry, your storage is full;[SR001] Non hai più spazio disponibile. Cancella qualcosa per registrare un nuovo programma o vai su voda.it/vtvhelp
notification.player.noAntenna;SD001: No aerial signal found.;Segnale antenna TV non rilevato [SD001]. Vai su voda.it/vtvhelp
popups.playbackError.message;SC219: Please check your Wi-Fi or see vodafone.co.uk/tv;[SC219] Connessione non disponibile.<br/>Vai su voda.it/vtvhelp
popups.playbackError.title;SC218: Sorry, we can't find a connection;Connessione non disponibile [SC218]. Vai su voda.it/vtvhelp
firstInstall.wifiNetworkErrorScreen.noIP;SC123: Please reboot your router and try again.;[SC123] Connessione Wi-Fi non disponibile. Vai su voda.it/vtvhelp
firstInstall.wifiNetworkErrorScreen.wirelessKeyError;SC116: Your Wi-Fi password is wrong, please try again.;Password Wi-Fi non corretta. Riprova [SC116]. Vai su voda.it/vtvhelp
firstInstall.wiredNetworkScreen.noIP;SC013: You’re not connected to the internet – please try again.;Connessione internet non disponibile da cavo ethernet. <br/>  Assicurati che la Vodafone Station sia connessa ad internet e se necessario riavvia la connessione. Premi riprova. [SC013].
notification.epg.date.invalid;SC007: Invalid date;Data e ora non disponibili [SC007]. Vai su voda.it/vtvhelp
notification.network.offline;SC005: Connnection lost.;Connessione internet non disponibile [SC005]. Vai su voda.it/vtvhelp
