key,en-GROUP,pt-PT-x-PT text
popups.reboot.footerText,SG002: Error number %1,SG002: Erro número %1
popups.upgrade.footerText,SG001: Error number %1,SG001: Erro número %1
popups.wifi.footerText,SC120: Error number %1,SC120: Erro número %1
firstInstall.wifiNetworkErrorScreen.title,Network,Wi-Fi
notification.recording.notForPast,Sorry, you can’t record programmes shown in the past.,Não é possível gravar programas que já terminaram.
notification.recording.fullprotection,SR004: Maximum number of recordings already protected. Please unprotect other recordings and try again.,Impossível proteger gravação. Desproteja outras gravações e tente novamente.
firstInstall.remotePairingFailedScreen.title,Remote pairing,Tente novamente
firstInstall.remotePairingFailedScreen.description,To reset your TV remote, hold the 3 and yellow buttons together for 5 seconds (or until the power light on the remote stops flashing).,A tentativa de emparelhar o comando<br/> Vodafone TV falhou.  Para tentar novamente, pressione a tecla 3<br/> e o botão amarelo simultaneamente durante 5 segundos.
notification.program.noInformation,SM002: No info available,Informação não disponível.
serieInfo.episode.notavailable,SM001: Sorry, title unavailable., 
settings.network.lan.waiting,Connect your Ethernet cable to set up your network,Ligue o cabo de rede
notification.channel.offline,SV003: Sorry, this channel is unavailable,Este canal não está disponível de momento.  Por favor tente novamente mais tarde.
notification.player.videoUnavailable,SV002: Programme unavailable.,SV002: Este programa não está disponível para visualização.
notification.player.error,SV001: Error,SV001: Erro na visualização.
notification.recording.failed,SR007: Recording failed,SR007: A visualização falhou. Por favor tente novamente mais tarde.
notification.recording.notPossible,SR005: You can't record this.,Não é possível gravar este programa. Verifique no guia TV os programas que podem ser gravados.
notification.recording.notOnBarker,SR003: Sorry, you can't record this channel,Não é possível gravar neste canal.
notification.seriesRecording.failed,SR002: Recording failed, try again.,SR002: A gravação falhou. Por favor tente novamente mais tarde.
popups.storage.title,SR001: Sorry, your storage is full,Impossivel gravar. Por favor apague algumas gravações para libertar espaço de armazenamento.
notification.player.noAntenna,SD001: No aerial signal found.,SD001: Nenhum sinal detetado. Verifique o cabo de rede e tente novamente.
popups.playbackError.message,SC219: Please check your Wi-Fi or see vodafone.co.uk/tv,SC218: Visualização interrompida.<br/>
popups.playbackError.title,SC218: Sorry, we can't find a connection,Ligação Wi-Fi perdida.
firstInstall.wifiNetworkErrorScreen.noIP,SC123: Please reboot your router and try again.,SC123: Sem ligação Wi-Fi.
firstInstall.wifiNetworkErrorScreen.wirelessKeyError,SC116: Your Wi-Fi password is wrong, please try again.,Palavra passe do Wi-Fi incorreta. Por favor tente novamente.
firstInstall.wiredNetworkScreen.noIP,SC013: You’re not connected to the internet – please try again.,SC013: Sem ligação.<br/>Por favor verifique a ligação da TV Box à rede local.
notification.epg.date.invalid,SC007: Invalid date,SC007: Data inválida
notification.network.offline,SC005: Connnection lost.,SC005: Sem ligação. Por favor verifique a ligação da TV Box à rede local.
settings.network.lan.noIP,SC002: You’re not connected to the internet – please try again.,SC002: Sem ligação.<br/>Por favor verifique a ligação da TV Box à rede local.
firstInstall.wiredNetworkScreen.connectionLost.description,SC001: Your internet connection was lost.,SC001: Sem ligação.<br/>Por favor verifique a ligação da TV Box à rede local.
firstInstall.getHelpScreen.wired.title,Network,Ligação à internet
notification.channel.notSubscribed,SB003: You’re not subscribed.,SB003: Não é possível visualizar este conteúdo.
notification.purchase.failed,SB001: Purchase failed,SB001: A compra falhou. Por favor tente novamente.
settings.masterPin.doNotMatch,SA010: They don't match, please try again.,SA010: Códigos PIN não coincidem.  Por favor tente novamente.
popups.pinEntry.failed,SA007: Sorry, that was the wrong PIN. Please try again.,Código PIN incorreto. Por favor tente novamente.
continueWatching.noUsername,SA006: Unknown,Desconhecido
firstInstall.operatorPairingScreen.description.noPin,SA005: Please call us on 08080 034 515 to complete setup.,SA005: TV Box não configurada. Por favor contacte o Suporte Técnico da Vodafone através do número 16913, ou em alternativa +351911691300.
notification.login.error,SA002: Sorry, login failed.,SA002: Falha na ligação ao serviço. Por favor contacte o Suporte Técnico da Vodafone através do número 16913, ou em alternativa +351911691300.
pinEntry.unSuccessful,SA001: Wrong PIN,Código PIN incorreto. Por favor tente novamente.
firstInstall.pairingPinInputScreen.title,Welcome,Bem-vindo
firstInstall.remoteUnPairingScreen.description,To pair your TV box and remote, hold the 3 and yellow buttons together for 5 seconds, then repeat with the 1 and yellow buttons.,Para emparelhar o comando prima simultanemanete as teclas 3 e Amarela durante 5 segundos. De seguida prima simultanemaente as teclas 1 e 5 durante 5 segundos.
firstInstall.remotePairingScreen.description,To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds. ,Para emparelhar o comando prima simultanemaente <br/> as teclas 1 e Amarela durante 5 segundos.
settings.remote.pairing,Remote pairing,Emparelhar comando
settings.remote.remotePairNewDevice.step0.description,To unpair your remote, hold the 3 and yellow buttons together for 5 seconds.,Prima simultaneamente as teclas 3 e Amarela durante 5 segundos.
firstInstall.wiredNetworkScreen.description,Connect your Ethernet cable to set up your network.,Por favor ligue a TV box ao router, utilizando um cabo de rede.
settings.remote.batteryStatus.low,Your battery status is low.,Por favor insira pilhas novas.
settings.network.wifi,WiFi,Wi-Fi
firstInstall.wiredNetworkFoundScreen.description,You're now connected.,Ligação bem sucedida.
settings.remote.remotePairNewDevice.step1.description,To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds.,Prima simultaneamente as teclas 1 e Amarela durante 5 segundos.
firstInstall.pairingPinInputScreen.description,Something went wrong, sorry – please call us on 08080 034 515,Por favor contacte o Suporte Técnico da Vodafone através do número 16913, ou em alternativa +351911691300.
popups.reboot.title,Sorry, your box needs to reboot.,A sua TV Box precisa de reiniciar.
settings.powerSaving.autoStandbyTime.hint,Remember, increasing auto standby time will use more power.,Um tempo de entrada em modo de baixo consumo mais longo implica maior consumo energético.
popups.upgrade.misc,Your box will reboot,A TV Box irá reiniciar em %1
