key;en-GROUP;sq-AL-x-AL text
popups.reboot.footerText;SG002: Error number %1;SG002: Gabim numri %1
popups.upgrade.footerText;SG001: Error number %1;SG001: Gabim numri %1
popups.wifi.footerText;SC120: Error number %1;SC120: Gabim numri %1
firstInstall.wifiNetworkErrorScreen.title;Network;Wi-Fi
notification.recording.notForPast;Sorry, you can’t record programmes shown in the past.;Nuk mund të regjistrohet. Programi ka përfunduar.
notification.recording.fullprotection;SR004: Maximum number of recordings already protected. Please unprotect other recordings and try again.;Nuk mund të ruhet regjistrimi. Hiq mbrojtjen nga regjistrimet e tjera dhe provo përsëri.
firstInstall.remotePairingFailedScreen.title;Remote pairing;Provo përsëri
firstInstall.remotePairingFailedScreen.description;To reset your TV remote, hold the 3 and yellow buttons together for 5 seconds (or until the power light on the remote stops flashing).;Na vjen keq, përpjekja për të lidhur telekomandën me pajisjen Vodafone GigaTV <br/> dështoi. Për të provuar përsëri shtyp<br/> 3 dhe butonat e verdhë së bashku për 5 sekonda.
notification.program.noInformation;SM002: No info available;SM002: Nuk mund të ngarkohet 'Vazhdo Shikimin' për programet.
serieInfo.episode.notavailable;SM001: Sorry, title unavailable.;SM001: Informacioni për episodin nuk është i disponueshëm.
settings.network.lan.waiting;Connect your Ethernet cable to set up your network;Lidh kabllin Ethernet ose lidhu përmes Wi-Fi
notification.channel.offline;SV003: Sorry, this channel is unavailable;Ky kanal është shkëputur aktualisht.  Provo përsëri më vonë.
notification.player.videoUnavailable;SV002: Programme unavailable.;SV002: Ky program nuk është i disponueshëm për t'u luajtur.
notification.player.error;SV001: Error;SV001: Gabim në riprodhim.
notification.recording.failed;SR007: Recording failed;SR007: Regjistrimi dështoi. Provo përsëri më vonë.
notification.recording.notPossible;SR005: You can't record this.;Regjistrimi nuk është i mundur. Kontrollo Guidën TV për programe që mund të regjistrohen.
notification.recording.notOnBarker;SR003: Sorry, you can't record this channel;Regjistrimi nuk është i mundur në këtë kanal.
notification.seriesRecording.failed;SR002: Recording failed, try again.;SR002: Regjistrimi dështoi. Provo përsëri më vonë.
popups.storage.title;SR001: Sorry, your storage is full;Regjistrimi nuk mund të kryhet. Fshij disa regjistrime për të liruar hapësirën.
notification.player.noAntenna;SD001: No aerial signal found.;SD001: Nuk ka sinjal ajror. Kontrollo kabllin ajror dhe provo përsëri.
popups.playbackError.message;SC219: Please check your Wi-Fi or see vodafone.co.uk/tv;SC218: Luajtja u ndërpre.<br/>Kontrollo ruterin dhe provo përsëri.
popups.playbackError.title;SC218: Sorry, we can't find a connection;Lidhja Wi-Fi u shkëput. Kontrollo ruterin dhe provo përsëri.
firstInstall.wifiNetworkErrorScreen.noIP;SC123: Please reboot your router and try again.;SC123: Mungon interneti në lidhjen me Wi-Fi. Kontrollo ruterin dhe provo përsëri.
firstInstall.wifiNetworkErrorScreen.wirelessKeyError;SC116: Your Wi-Fi password is wrong, please try again.;Fjalëkalim i pasaktë Wi-Fi. Provo përsëri.
firstInstall.wiredNetworkScreen.noIP;SC013: You’re not connected to the internet – please try again.;SC013: Nuk ka internet në lidhjen kabllore.<br/>Kontrollo ruterin dhe provo përsëri.
notification.epg.date.invalid;SC007: Invalid date;SC007: Data e pavlefshme
notification.network.offline;SC005: Connnection lost.;SC005: Lidhja me shërbimin u shkëput. Kontrollo lidhjen e internetit për probleme.
settings.network.lan.noIP;SC002: You’re not connected to the internet – please try again.;SC002: Nuk ka internet në lidhjen ethernet.<br/>Kontrollo ruterin.
firstInstall.wiredNetworkScreen.connectionLost.description;SC001: Your internet connection was lost.;SC001: Lidhja internet u shkëput.<br/>Kontrollo ruterin dhe provo përsëri
firstInstall.getHelpScreen.wired.title;Network;Lidhje interneti
notification.channel.notSubscribed;SB003: You’re not subscribed.;SB003: Po sheh në më shumë se 2 pajisje ose nuk je i abonuar.
notification.purchase.failed;SB001: Purchase failed;SB001: Blerja dështoi.  Provo përsëri.
settings.masterPin.doNotMatch;SA010: They don't match, please try again.;SA010: PIN-et nuk përputhen. Provo përsëri.
popups.pinEntry.failed;SA007: Sorry, that was the wrong PIN. Please try again.;PIN i gabuar. Provo përsëri.
continueWatching.noUsername;SA006: Unknown;I panjohur
firstInstall.operatorPairingScreen.description.noPin;SA005: Please call us on 08080 034 515 to complete setup.;SA005: Instalimi nuk përfundoi. Kontakto Shërbimin e Klientit +35569140 për ndihmë.
notification.login.error;SA002: Sorry, login failed.;SA002: Lidhja me shërbimin dështoi. Kontakto Shërbimin e Klientit.
pinEntry.unSuccessful;SA001: Wrong PIN;PIN i gabuar. Provo përsëri.
firstInstall.pairingPinInputScreen.title;Welcome;Përshëndetje
firstInstall.remoteUnPairingScreen.description;To pair your TV box and remote, hold the 3 and yellow buttons together for 5 seconds, then repeat with the 1 and yellow buttons.;Për të lidhur telekomandën me pajisjen Vodafone GigaTV, shtyp butonin 3 dhe butonin e verdhë njëkohësisht për 3 sekonda dhe pastaj përsërite me butonin 1 dhe atë të verdhë për 5 sekonda.
firstInstall.remotePairingScreen.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds. ;Për të lidhur telekomandën me pajisjen Vodafone GigaTV, shtyp<br/> butonin 1 dhe butonin e verdhë njëkohësisht për 5 sekonda.
settings.remote.pairing;Remote pairing;Lidh telekomandën
settings.remote.remotePairNewDevice.step0.description;To unpair your remote, hold the 3 and yellow buttons together for 5 seconds.;Së pari, mbaj shtypur butonin 3 dhe ata të verdhë njëkohësisht për 5 sekonda.
firstInstall.wiredNetworkScreen.description;Connect your Ethernet cable to set up your network.;Lidh kabllin Ethernet nga pajisja Vodafone GigaTV në ruter.
settings.remote.batteryStatus.low;Your battery status is low.;Vendos bateri të reja
settings.network.wifi;WiFi;Wi-Fi
firstInstall.wiredNetworkFoundScreen.description;You're now connected.;Lidhja u krijua me sukses
settings.remote.remotePairNewDevice.step1.description;To pair your TV box and remote, hold the 1 and yellow buttons together for 5 seconds.;Tani mbaj shtypur butonin 1 dhe atë të verdhë njëkohësisht për 5 sekonda
firstInstall.pairingPinInputScreen.description;Something went wrong, sorry – please call us on 08080 034 515;Kontakto Shërbimin e Klientit për të përfunduar instalimin.
popups.reboot.title;Sorry, your box needs to reboot.;Pajisja Vodafone TV duhet të rindizet
settings.powerSaving.autoStandbyTime.hint;Remember, increasing auto standby time will use more power.;Shënim: Rritja e kohës së standby automatik konsumon më shumë energji
popups.upgrade.misc;Your box will reboot;Pajisja do të rindizet në %1.
firstInstall.wiredNetworkScreen.title;Network;Lidhje interneti
settings.parentalPin.on;On;Ndezur
settings.parentalPin.off;Off;Fikur
firstInstall.wiredNetworkSearchScreen.title;Network;Rrjeti
firstInstall.scanSummaryScreen.title;Channels scanned;Kanalet e gjetura
settings.termsAndConditions.view;Read our Ts&Cs;Kushtet Ligjore
settings.parentalPinInit;Your default PIN is 1234. We recommend you choose a new one now.;Për më shumë informacion për PIN-in të lutem vizito vodafone.al/vodafone-tv
settings.network.lan.connected;Connected;I lidhur
firstInstall.remotePairingScreen.title;Remote pairing;Lidh telekomandën
firstInstall.wifiNetworkConnectingScreen.title;Network;Wi-Fi
firstInstall.wifiNetworkSelectScreen.title;Network;Wi-Fi
firstInstall.wifiKeyboardScreen.title;Network;Wi-Fi
firstInstall.getHelpScreen.wifi.title;Network;Wi-Fi
firstInstall.finishSetupScreen.title;Your devices;Pajisjet e tua
notification.recording.notAllow;Sorry, you can't record this programme;Nuk mund të regjistrosh. Nuk je i abonuar.
settings.parentalAndPaiment;Payment & controls;Tarifat dhe Kontrollet
settings.audioAndVisual.screenResolution;Screen resolution;Rezolucioni i Ekranit
pinEntry.more;See more on PINs in Settings.;Shiko vodafone.al/vodafone-tv
firstInstall.wifiNetworkFoundScreen.description;Your TV box is now connected to Wi-Fi.;Pajisja Vodafone GigaTV është <br/> lidhur
settings.remote.remotePair;Pair;Lidh
settings.remote.remoteUnpair;Unpair;Shkëput lidhjen
firstInstall.getHelpScreen.channels.title;Channels;Kanalet
settings.parentalControls.ageRating.info;Choosing PIN protection for age-rated programmes will also protect any recordings after 9pm.;Aktivizimi i Kontrollit Prindëror të mbrojtjes me PIN zbatohet edhe për çdo regjistrim të bërë pas 9pm.
rails.morefrom;More from;Më shumë nga %1
firstInstall.startChannelsScanScreen.title;Channels;Kanalet
settings.parentalAndPaiment.parentalPin;PIN;PIN
settings.parentalPin;PIN;PIN
firstInstall.wiredNetworkFoundScreen.title;You're connected;Je lidhur
firstInstall.wifiNetworkFoundScreen.title;You're connected;Wi-Fi i lidhur
